Designator,Comment,Description,Dielectric,LibRef,ManufacturerPartNumber,Quantity
"C1, C2, C3",Cap 10uF 0603,Capacitor,X5R,Cap 10uF 0603,GRM188R61A106KE69J,3
J1,DB-15 VGA,,,DB-15 VGA,ICD15S13E4GX00LF,1
J2,SCART Female,,,SCART,,1
J3,RCA White,RCA Jack White,,RCJ-043,RCJ-043,1
J4,RCA Red,RCA Jack Red,,RCJ-042,RCJ-042,1
"R1, R3",Res 1M 0402,Resistor 1M 0402,,Res 1M 0402,RC1005F105CS,2
R2,Res 549 0402,Resistor 549 0402,,Res 549 0402,RC0402FR-07549RL,1
R4,Res 100 0402,Resistor 100 0402,,Res 100 0402,RC0402FR-07100RL,1
"R5, R6",Res 49.9 0402,Resistor 49.9 0402,,Res 49.9 0402,RC1005F49R9CS,2
U1,Quad XNOR,,,SN74HCS7266,SN74HCS7266QDRQ1,1
